experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,-0.0012469999999999981,-0.006269068756425189,0.011907424908659465,-0.5264840051072771,-0.008182046813912436,50,0.45815589602782614,,0.042492500000000044
single_agent,ContrarianAgent,0.041245500000000046,0.2259360412494109,0.09808017629533752,2.3035851869706656,-0.025870201105448132,50,0.45815589602782614,,0.0
single_agent,DrawdownBuyerAgent,-0.13493549999999999,-0.5183579569544923,0.4638274932714738,-1.1175662600300027,-0.2681320485776174,50,0.45815589602782614,,0.17618100000000003
single_agent,DynamicTeamAgent,-0.014268699999999912,-0.06987123248576399,0.04987145956424075,-1.4010264206476852,-0.02625197398090995,50,0.45815589602782614,,0.05551419999999996
single_agent,FreeRiderAgent,-0.0017850000000000366,-0.008964020301558073,0.0163443585656081,-0.5484473597159218,-0.008332397239234846,50,0.45815589602782614,,0.04303050000000008
single_agent,LowVolatilityAgent,0.008909999999999973,0.04572196497645842,0.016715380078036662,2.7353230834718048,-0.004704842595884107,50,0.45815589602782614,,0.03233550000000007
single_agent,MeanReversionAgent,-0.09214860000000002,-0.3856803192343782,0.45910157688091047,-0.8400762242087059,-0.24813614304065135,50,0.45815589602782614,,0.13339410000000007
single_agent,MomentumAgent,-0.11731669999999994,-0.46684099797233036,0.27706834701538624,-1.6849308230304836,-0.1665272813111216,50,0.45815589602782614,,0.1585622
single_agent,PersuaderAgent,-0.004938200000000115,-0.02464150006529009,0.017051758845041676,-1.4451001969486195,-0.009528214782232314,50,0.45815589602782614,,0.04618370000000016
single_agent,RandomAgent,-0.015251899999999985,-0.07453763198730579,0.07663808047243757,-0.972592626639609,-0.032422577886281,50,0.45815589602782614,,0.05649740000000003
single_agent,SocialGraphAgent,0.0037650000000000183,0.019120466779812162,0.031136998559403516,0.6140754621333819,-0.011099312447721665,50,0.45815589602782614,,0.03748050000000003
single_agent,TruthfulReporterAgent,0.001108000000000109,0.005596832642680072,0.0167346748362261,0.3344452579720536,-0.006664861873614036,50,0.45815589602782614,,0.04013749999999994
agent_portfolio,correlation_aware_agent_portfolio,-0.043688878659953634,-0.20526106497777152,0.10955565879477996,-1.8735779350500483,-0.0762817985187324,49,0.45815589602782614,0.0926223077074877,0.08493437865995368
agent_portfolio,drawdown_constrained_agent_portfolio,-0.007654930269169746,-0.038748950814425864,0.0619952430461637,-0.6250310331967264,-0.03255253777427092,49,0.45815589602782614,0.10584416389369025,0.04890043026916979
agent_portfolio,equal_agent_portfolio,-0.02568526752385991,-0.1252540156723383,0.11036495404964469,-1.1349075143545673,-0.06808755478144335,49,0.45815589602782614,0.08333333333333334,0.06693076752385996
agent_portfolio,hedge_agent_portfolio,-0.007654930269169746,-0.038748950814425864,0.0619952430461637,-0.6250310331967264,-0.03255253777427092,49,0.45815589602782614,0.10584416389369025,0.04890043026916979
