agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.35595028993641104,0.5001121074812257,0.5762682693235199,0.7821977537712982,0.3511650182913448,0.35030300912787443,0.17560467822686027,0.1978947800791001,0.34257244657748187,0.8698649649410587,0.8538996403163267
ContrarianAgent,0.35595028993641104,1.0,0.7298589396292587,0.7663435347798964,0.4881432630452322,0.16407316417489587,0.6182523665223457,0.7346910747938741,0.12329792440447204,0.6108520485426399,0.439008167463359,0.47652830837136284
DrawdownBuyerAgent,0.5001121074812257,0.7298589396292587,1.0,0.8746780809070629,0.5971727181601293,0.2687494240926331,0.8049864701825771,0.66262501054148,0.31171536387817955,0.8571990027197858,0.6033765394133332,0.6079823224109243
DynamicTeamAgent,0.5762682693235199,0.7663435347798964,0.8746780809070629,1.0,0.6155124625981059,0.3179266440287903,0.7481992356768813,0.5619329167666767,0.23379815549545258,0.7244057666824212,0.6311836247850078,0.6857260110666649
FreeRiderAgent,0.7821977537712982,0.4881432630452322,0.5971727181601293,0.6155124625981059,1.0,0.37693732807857816,0.4846229255241294,0.28557194212524367,0.3934462923688668,0.5096298489128055,0.8901751304615357,0.8339904593355016
LowVolatilityAgent,0.3511650182913448,0.16407316417489587,0.2687494240926331,0.3179266440287903,0.37693732807857816,1.0,0.1972199670638723,0.11626052723156202,0.029411687362616713,0.21600680231485903,0.38258966664752897,0.4965342746922921
MeanReversionAgent,0.35030300912787443,0.6182523665223457,0.8049864701825771,0.7481992356768813,0.4846229255241294,0.1972199670638723,1.0,0.5082033904742359,0.6120442211884549,0.7334437808725873,0.45030138164086614,0.4056655866132937
MomentumAgent,0.17560467822686027,0.7346910747938741,0.66262501054148,0.5619329167666767,0.28557194212524367,0.11626052723156202,0.5082033904742359,1.0,0.19304856685707664,0.6095154311556639,0.28298134683365345,0.31035537469644836
PersuaderAgent,0.1978947800791001,0.12329792440447204,0.31171536387817955,0.23379815549545258,0.3934462923688668,0.029411687362616713,0.6120442211884549,0.19304856685707664,1.0,0.38214874402804183,0.35856679288399984,0.25590331563294344
RandomAgent,0.34257244657748187,0.6108520485426399,0.8571990027197858,0.7244057666824212,0.5096298489128055,0.21600680231485903,0.7334437808725873,0.6095154311556639,0.38214874402804183,1.0,0.523983549301972,0.5129748316520565
SocialGraphAgent,0.8698649649410587,0.439008167463359,0.6033765394133332,0.6311836247850078,0.8901751304615357,0.38258966664752897,0.45030138164086614,0.28298134683365345,0.35856679288399984,0.523983549301972,1.0,0.9286542410787924
TruthfulReporterAgent,0.8538996403163267,0.47652830837136284,0.6079823224109243,0.6857260110666649,0.8339904593355016,0.4965342746922921,0.4056655866132937,0.31035537469644836,0.25590331563294344,0.5129748316520565,0.9286542410787924,1.0
