sender_id,prediction_count,avg_confidence,reputation,calibration_error,influence_score,forecast_count,mean_brier,mean_log_score,proper_reputation
CommitteeTeamAgent,70,0.7092083929823647,0.4431694627573801,0.33549661257652114,0.20430518511583323,69,0.4766586778360568,-1.313670118522194,0.5233413221639431
ContrarianAgent,202,0.7607730488572684,0.45380993638828476,0.3680093393861734,0.18791234098890247,198,0.4702800680306292,-1.356621415719255,0.5297199319693708
DrawdownBuyerAgent,42,0.6612347088021852,0.4677801785669088,0.2948693518925743,0.20481910736788891,41,0.45940357144148514,-1.2245917695834032,0.5405964285585149
DynamicTeamAgent,76,0.7024618368322298,0.5074553084236797,0.3047234338543684,0.2100121966927311,75,0.42982693833835856,-1.1892174617716738,0.5701730616616414
FreeRiderAgent,7,0.7704205027061258,0.5269546459416273,0.29692075778963684,0.20418265274233555,7,0.5556397871055546,-1.5564419550045392,0.4443602128944454
LowVolatilityAgent,36,0.7493703095093605,0.5445195051287913,0.2997417695628056,0.19079841926301747,35,0.3993320261626369,-1.1460519656367119,0.600667973837363
MeanReversionAgent,92,0.8179078355795982,0.46713887246626873,0.3791855736694131,0.1930356388862959,92,0.47277092338830035,-1.4832529430308798,0.5272290766116996
MomentumAgent,68,0.7835204458560309,0.40616547785326207,0.3893554368469095,0.20870031954049242,68,0.5496112397469823,-1.6226711317770237,0.45038876025301766
PersuaderAgent,225,0.9714936121961154,0.4783445195305601,0.4917444980304079,0.19889623701614967,221,0.5204187197086038,-5.429560220970285,0.47958128029139624
RandomAgent,26,0.6293382128257787,0.5187501547575569,0.26643707640133135,0.18250179729848423,26,0.446428129264123,-1.1763161369275466,0.553571870735877
SocialGraphAgent,118,0.7106915092318828,0.535696070957193,0.2884619597939286,0.20553667139132523,117,0.4452267222046305,-1.2266266638424752,0.5547732777953694
TruthfulReporterAgent,172,0.8436421644922433,0.46135229029129476,0.38972312349411825,0.20510420458073325,168,0.5506893627433348,-1.7675018754264369,0.44931063725666515
